id,Event,Date,Time,Yes_Odds,No_Odds,Implied_Prob
5602,Volendam vs Alkmaar,17 Mar 2024,7.15pm,1.9,1.75,109.77443609022556
1341,Juventus vs Genoa,17 Mar 2024,7.30pm,2.25,1.53,109.80392156862746
2968,Brest vs Lille,17 Mar 2024,8.00pm,1.9,1.75,109.77443609022556
7589,Hamburg vs Wehen Wiesbaden,17 Mar 2024,8.30pm,1.48,2.35,110.12075905692926
7590,Hertha Berlin vs Schalke 04,17 Mar 2024,8.30pm,1.5,2.3,110.14492753623189
7584,Karlsruhe vs Magdeburg,17 Mar 2024,8.30pm,1.43,2.5,109.93006993006995
426,Chelsea vs Leicester,17 Mar 2024,8.45pm,1.53,2.25,109.80392156862746
1584,Sevilla vs Celta de Vigo,17 Mar 2024,9.00pm,1.77,1.87,109.97311097011995
7034,Leganes vs Mirandes,17 Mar 2024,9.00pm,2.35,1.48,110.12075905692926
5606,Heerenveen vs Feyenoord,17 Mar 2024,9.30pm,1.67,2.0,109.88023952095809
5697,Utrecht vs Nijmegen,17 Mar 2024,9.30pm,1.6,2.1,110.11904761904762
387,West Ham vs Aston Villa,17 Mar 2024,10.00pm,1.37,2.7,110.02973776696403
1330,Verona vs Milan,17 Mar 2024,10.00pm,1.8,1.85,109.60960960960962
2957,Clermont vs Le Havre,17 Mar 2024,10.00pm,1.9,1.75,109.77443609022556
2977,Monaco vs Lorient,17 Mar 2024,10.00pm,1.7,1.95,110.105580693816
2980,Reims vs Metz,17 Mar 2024,10.00pm,1.9,1.75,109.77443609022556
1454,AIK Stockholm vs Djurgarden,17 Mar 2024,10.00pm,1.8,1.85,109.60960960960962
1146,Freiburg vs Leverkusen,17 Mar 2024,10.30pm,1.75,1.9,109.77443609022556
1894,Leeds vs Millwall,17 Mar 2024,11.00pm,2.1,1.6,110.11904761904762
6052,Huachipato vs Copiapo,17 Mar 2024,11.00pm,1.67,2.0,109.88023952095809
1508,UD Las Palmas vs Almeria,17 Mar 2024,11.15pm,1.7,1.95,110.105580693816
1503,Villarreal vs Valencia,17 Mar 2024,11.15pm,1.7,1.95,110.105580693816
7023,Ferrol vs Valladolid,17 Mar 2024,11.15pm,2.15,1.58,109.80276714748307
490,Manchester Utd vs Liverpool,17 Mar 2024,11.30pm,1.35,2.8,109.78835978835978
5694,Sparta Rotterdam vs Ajax,17 Mar 2024,11.45pm,1.53,2.25,109.80392156862746
2959,Rennes vs Marseille,18 Mar 2024,12.05am,1.6,2.1,110.11904761904762
1162,Dortmund vs E Frankfurt,18 Mar 2024,12.30am,1.45,2.45,109.78184377199156
1365,Atalanta vs Fiorentina,18 Mar 2024,1.00am,1.67,2.0,109.88023952095809
1324,Roma vs Sassuolo,18 Mar 2024,1.00am,1.87,1.77,109.97311097011995
1581,Vallecano vs Real Betis,18 Mar 2024,1.30am,1.9,1.75,109.77443609022556
7033,Elche vs Albacete,18 Mar 2024,1.30am,2.15,1.58,109.80276714748307
7027,Real Zaragoza vs Espanyol,18 Mar 2024,1.30am,2.15,1.58,109.80276714748307
4696,NE Revolution vs FC Cincinnati,18 Mar 2024,2.00am,1.5,2.3,110.14492753623189
5611,PSV vs Twente Enschede,18 Mar 2024,3.00am,1.67,2.0,109.88023952095809
1343,Inter vs Napoli,18 Mar 2024,3.45am,1.63,2.05,110.13018105641179
2978,Montpellier vs Paris SG,18 Mar 2024,3.45am,1.5,2.3,110.14492753623189
1512,Atletico Madrid vs Barcelona,18 Mar 2024,4.00am,1.48,2.35,110.12075905692926
6050,Palestino Chile vs Union La Calera,18 Mar 2024,5.00am,1.7,1.95,110.105580693816
4669,Atlanta Utd vs Orlando City,18 Mar 2024,7.00am,1.5,2.3,110.14492753623189
6051,Univ Catolica vs Audax Italiano,18 Mar 2024,7.30am,1.67,2.0,109.88023952095809
